course_name,course_link,course_description,price,starting_date,delivery_mode,number_of_lessons,total_duration_hours,target_audience
Advanced Analytics Analytics,https://vizaura.ai/courses/advanced-analytics-analytics-0,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",12999,2026-04-10,Live,19,27,Data analysts
Applied AI Strategy,https://vizaura.ai/courses/applied-ai-strategy-1,"Comprehensive course on ai covering real-world applications, tools, and case studies.",12999,2026-05-07,Live,25,31,Beginner professionals
Strategic Digital Transformation Analytics,https://vizaura.ai/courses/strategic-digital-transformation-analytics-2,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",9999,Self-paced,Self-paced,19,31,Data analysts
Practical Energy Analytics,https://vizaura.ai/courses/practical-energy-analytics-3,"Comprehensive course on energy covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,22,37,Mid-level managers
Practical Digital Transformation Strategy,https://vizaura.ai/courses/practical-digital-transformation-strategy-4,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",24999,Self-paced,Self-paced,21,35,Senior leaders
Practical Digital Transformation Strategy,https://vizaura.ai/courses/practical-digital-transformation-strategy-5,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,22,31,Engineers
Practical Analytics Analytics,https://vizaura.ai/courses/practical-analytics-analytics-6,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",24999,2026-04-20,Live,18,27,Data analysts
Advanced Analytics Insights,https://vizaura.ai/courses/advanced-analytics-insights-7,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",4999,Self-paced,Self-paced,18,32,Beginner professionals
Advanced Finance Analytics,https://vizaura.ai/courses/advanced-finance-analytics-8,"Comprehensive course on finance covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,24,30,Beginner professionals
Practical AI Insights,https://vizaura.ai/courses/practical-ai-insights-9,"Comprehensive course on ai covering real-world applications, tools, and case studies.",12999,Self-paced,Self-paced,21,33,Consultants
Fundamentals of Digital Transformation Analytics,https://vizaura.ai/courses/fundamentals-of-digital-transformation-analytics-10,"Comprehensive course on digital transformation covering real-world applications, tools, and case studies.",24999,2026-06-19,Live,13,22,Beginner professionals
Advanced Energy Insights,https://vizaura.ai/courses/advanced-energy-insights-11,"Comprehensive course on energy covering real-world applications, tools, and case studies.",14999,Self-paced,Self-paced,15,29,Data analysts
Advanced Analytics Strategy,https://vizaura.ai/courses/advanced-analytics-strategy-12,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",7999,2026-04-25,Live,28,34,Mid-level managers
Applied Analytics Insights,https://vizaura.ai/courses/applied-analytics-insights-13,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",14999,2026-04-11,Live,12,21,Engineers
Fundamentals of AI Operations,https://vizaura.ai/courses/fundamentals-of-ai-operations-14,"Comprehensive course on ai covering real-world applications, tools, and case studies.",4999,2026-04-26,Live,20,26,Engineers
Strategic Analytics Insights,https://vizaura.ai/courses/strategic-analytics-insights-15,"Comprehensive course on analytics covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,27,34,Data analysts
Strategic Finance Modeling,https://vizaura.ai/courses/strategic-finance-modeling-16,"Comprehensive course on finance covering real-world applications, tools, and case studies.",24999,2026-06-04,Live,17,34,Senior leaders
Fundamentals of Supply Chain Operations,https://vizaura.ai/courses/fundamentals-of-supply-chain-operations-17,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",17999,2026-04-29,Live,14,26,Beginner professionals
Applied Supply Chain Modeling,https://vizaura.ai/courses/applied-supply-chain-modeling-18,"Comprehensive course on supply chain covering real-world applications, tools, and case studies.",19999,Self-paced,Self-paced,23,41,Senior leaders
